product_name,ingredient,interaction_count,top_interaction_types
ACTINOMA %3 30 GR JEL,diclofenac,491,"risk or severity of adverse effects, metabolism, serum concentration"
ACTOS 15 MG 28 FTB,pioglitazone,375,"metabolism, therapeutic efficacy, hypoglycemic activities"
ACTOS 30 MG 28 FTB,pioglitazone,375,"metabolism, therapeutic efficacy, hypoglycemic activities"
"ACUFIX %0,4 GOZ DAMLASI 5 ML",ketorolac,347,"risk or severity of adverse effects, therapeutic efficacy, antihypertensive activities"
"ACULAR LS %0,4 STERIL GOZ DAMLASI 5 ML",ketorolac,347,"risk or severity of adverse effects, therapeutic efficacy, antihypertensive activities"
"ADADERM %0,1 JEL, 30 GRAM",adapalene,351,"risk or severity of adverse effects, therapeutic efficacy, antihypertensive activities"
ADALAT CRONO 30 MG 20 KONT SAL TABLET,nifedipine,438,"risk or severity of adverse effects, metabolism, serum concentration"
ADELEKS 4 MG/2 ML IM 6 AMP,thiocolchicoside,1,therapeutic efficacy
ADELEKS 8 MG 14 TABLET,thiocolchicoside,1,therapeutic efficacy
"ADEMPAS 0,5 MG 42 FTB",riociguat,377,"hypotensive activities, serum concentration, risk or severity of adverse effects"
ADEMPAS 1 MG 42 FTB,riociguat,377,"hypotensive activities, serum concentration, risk or severity of adverse effects"
"ADEMPAS 1,5 MG 42 FTB",riociguat,377,"hypotensive activities, serum concentration, risk or severity of adverse effects"
ADEMPAS 2 MG 42 FTB,riociguat,377,"hypotensive activities, serum concentration, risk or severity of adverse effects"
"ADEMPAS 2,5 MG 42 FTB",riociguat,377,"hypotensive activities, serum concentration, risk or severity of adverse effects"
ADENURIC 120 MG 28 FILM KAPLI TABLET,febuxostat,6,"serum concentration of active metabolites, serum concentration"
ADENURIC 80 MG 28 FILM KAPLI TABLET,febuxostat,6,"serum concentration of active metabolites, serum concentration"
"ADOPORT 0,5 MG 50 KAP",tacrolimus,432,"metabolism, immunosuppressive activities, serum concentration"
ADOPORT 1 MG 50 KAP,tacrolimus,432,"metabolism, immunosuppressive activities, serum concentration"
ADOPORT 5 MG 50 KAPSUL,tacrolimus,432,"metabolism, immunosuppressive activities, serum concentration"
ADOZIN 10 MG/2 ML IV ENJ VE INF ICIN COZ ICEREN 2ML 10 AMP,adenosine,8,"therapeutic efficacy, risk or severity of adverse effects, atrioventricular blocking (AV block) activities"
ADOZIN 250 MG/50 ML IV ENJ. VE INF ICIN COZ ICEREN 10 FLK.,adenosine,8,"therapeutic efficacy, risk or severity of adverse effects, atrioventricular blocking (AV block) activities"
ADOZIN 50 MG/10 ML IV ENJ VE INF ICIN COZ ICEREN 10 FLK,adenosine,8,"therapeutic efficacy, risk or severity of adverse effects, atrioventricular blocking (AV block) activities"
ADRENALIN 1/2 MG/1ML 10 AMP (BIOSEL),epinephrine,318,"antihypertensive activities, vasoconstricting activities, risk or severity of hypotension"
ADRENALIN 1/2 MG/1ML 10 AMP (GALEN),epinephrine,318,"antihypertensive activities, vasoconstricting activities, risk or severity of hypotension"
ADRENALIN 1/4MG/1ML 10 AMP (GALEN),epinephrine,318,"antihypertensive activities, vasoconstricting activities, risk or severity of hypotension"
ADRENALIN 1MG/1ML 10 AMP (BIOSEL),epinephrine,318,"antihypertensive activities, vasoconstricting activities, risk or severity of hypotension"
ADRENALIN 1MG/1ML 10 AMP (GALEN),epinephrine,318,"antihypertensive activities, vasoconstricting activities, risk or severity of hypotension"
ADRIMISIN 10 MG/5 ML ENJEKSIYON ICIN SOLUSYON ICEREN FLK,doxorubicin,513,"serum concentration, metabolism, risk or severity of adverse effects"
ADRIMISIN 50 MG/25ML IV ENJEKTABL LIYOFILIZE TOZ ICEREN FLK.,doxorubicin,513,"serum concentration, metabolism, risk or severity of adverse effects"
"ADVAGRAF 0,5 MG 50 UZATILMIS SALIMLI 50 SERT KAP",tacrolimus,432,"metabolism, immunosuppressive activities, serum concentration"
ADVAGRAF 1 MG 50 UZATILMIS SALIMLI 50 SERT KAP,tacrolimus,432,"metabolism, immunosuppressive activities, serum concentration"
ADVAGRAF 3 MG UZATILMIS SALIMLI 50 KAPSUL,tacrolimus,432,"metabolism, immunosuppressive activities, serum concentration"
ADVAGRAF 5 MG 50 UZATILMIS SALIMLI 50 SERT KAP,tacrolimus,432,"metabolism, immunosuppressive activities, serum concentration"
ADVIL LIQUI-GELS 200 MG 20 KAP,ibuprofen,424,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
AERIUS 5 MG FILM KAPLI TABLET (20 TABLET),desloratadine,392,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
"AFILTA 20 MG FİLM KAPLI TABLET, 4 ADET",tadalafil,285,"antihypertensive activities, serum concentration, hypotensive activities"
AFINITOR 10 MG 30 TABLET,everolimus,313,"serum concentration, therapeutic efficacy, risk or severity of adverse effects"
AFINITOR 5 MG 30 TABLET,everolimus,313,"serum concentration, therapeutic efficacy, risk or severity of adverse effects"
"AGRABLOC 12,5 MG/50 ML IV INF. ICIN KON. COZ. ICEREN FLAKON (1 FLAKON)",tirofiban,69,"anticoagulant activities, risk or severity of adverse effects, antiplatelet activities"
AGRILOR 90 MG FILM KAPLI TABLET (56 TABLET),ticagrelor,360,"metabolism, serum concentration, anticoagulant activities"
AIRFIBRO 300 MG/5 ML NEBULIZASYON COZELTISI (56 ADET),tobramycin,185,"excretion rate of higher serum level, serum concentration, nephrotoxic activities"
AIRFIX 10 MG 28 FILM KAPLI TABLET,montelukast,121,"metabolism, serum concentration, therapeutic efficacy"
AKELA FORTE % 4 30 GR JEL,erythromycin,649,"metabolism, serum concentration, QTc-prolonging activities"
AKINETON 2 MG 100 TABLET,biperiden,138,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
AKINETON 5 MG/ML 1 ML 5 AMP,biperiden,138,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
AKLOFEN %3 JEL (30 GR),diclofenac,491,"risk or severity of adverse effects, metabolism, serum concentration"
AKNESILEX 30 MG/G MERHEM,tetracycline,200,"metabolism, serum concentration, therapeutic efficacy"
AKNETRENT 10 MG 30 YUM JELATIN KAP,isotretinoin,35,"therapeutic efficacy, risk or severity of adverse effects, hepatotoxic activities"
AKNETRENT 20 MG 30 YUM JELATIN KAP,isotretinoin,35,"therapeutic efficacy, risk or severity of adverse effects, hepatotoxic activities"
AKSEF 500 MG 10 FTB,cefuroxime,46,"serum concentration, absorption, nephrotoxic activities"
AKSEF 500 MG 14 FTB,cefuroxime,46,"serum concentration, absorption, nephrotoxic activities"
AKSEF 500 MG 20 FTB,cefuroxime,46,"serum concentration, absorption, nephrotoxic activities"
AKSEF 750 MG IM ENJEKSIYONLUK TOZ 1 FLAKON,cefuroxime,46,"serum concentration, absorption, nephrotoxic activities"
AKSEF 750 MG IM/IV ENJEKSIYONLUK TOZ 1 FLAKON,cefuroxime,46,"serum concentration, absorption, nephrotoxic activities"
"ALBİPAKSEL 100 MG İNFÜZYONLUK DİSPERSİYON HAZIRLAMADA KULLANILACAK KONSANTRE İÇİN TOZ, 1 ADET",paclitaxel,519,"risk or severity of adverse effects, metabolism, serum concentration"
"ALCEBA 10 MG FILM TABLET, 30 ADET",memantine,182,"risk or severity of adverse effects, therapeutic efficacy, bradycardic activities"
ALDACTONE 100 MG 16 TABLET,spironolactone,384,"risk or severity of adverse effects, antihypertensive activities, vasoconstricting activities"
ALDACTONE-A 25 MG 20 TABLET,spironolactone,384,"risk or severity of adverse effects, antihypertensive activities, vasoconstricting activities"
ALDARA %5 KREM 0.25 GR 12 SASE,imiquimod,114,"metabolism, serum concentration, cardiotoxic activities"
ALECAST 10 MG 28 FTB,montelukast,121,"metabolism, serum concentration, therapeutic efficacy"
ALECAST 4 MG 28 CIGNEME TABLET,montelukast,121,"metabolism, serum concentration, therapeutic efficacy"
ALECAST 5 MG 28 CIGNEME TABLET,montelukast,121,"metabolism, serum concentration, therapeutic efficacy"
ALECENSA 150 MG 224 SERT KAPSUL,alectinib,25,"serum concentration, cardiotoxic activities, risk or severity of adverse effects"
ALERFIN 2 MG/5 ML ORAL COZ 100 ML,chlorphenamine,392,"risk or severity of adverse effects, metabolism, serum concentration"
ALERINIT 5 MG 20 FTB,levocetirizine,363,"risk or severity of adverse effects, metabolism, serum concentration"
ALEVE 220 MG 20 FTB,naproxen,416,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
ALFUTU 10 MG UZATILMIS SALIMLI 30 TABLET,alfuzosin,403,"hypotensive activities, serum concentration, vasoconstricting activities"
ALGOPET 100 MG 15 FTB,flurbiprofen,396,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
ALGOPET SR 200 MG MIKROPELLET 16 KAPSUL,flurbiprofen,396,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
ALIMTA 500 MG 1 FLK,pemetrexed,17,"risk or severity of adverse effects, cardiotoxic activities, immunosuppressive activities"
ALIPZA 1 MG FILM 30 TABLET,pitavastatin,331,"serum concentration, metabolism, risk or severity of rhabdomyolysis"
ALIPZA 2 MG FILM TABLET,pitavastatin,331,"serum concentration, metabolism, risk or severity of rhabdomyolysis"
ALIPZA 4 MG FILM TABLET,pitavastatin,331,"serum concentration, metabolism, risk or severity of rhabdomyolysis"
"ALKA-SELTZER 324 MG/965 MG/1744 MG EFERVESAN TABLET, 10 ADET",acetylsalicylic acid,421,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
ALKERAN 2 MG FILM KAPLI TABLET,melphalan,20,"risk or severity of adverse effects, cardiotoxic activities, immunosuppressive activities"
ALLEGRA 120 MG 20 FTB,fexofenadine,335,"risk or severity of adverse effects, serum concentration, central nervous system depressant (CNS depressant) activities"
ALLEGRA 180 MG 20 FTB,fexofenadine,335,"risk or severity of adverse effects, serum concentration, central nervous system depressant (CNS depressant) activities"
"ALLERGODIL %0,05 GOZ DAMLASI, COZELTI (6 ML)",azelastine,791,"central nervous system depressant (CNS depressant) activities, risk or severity of adverse effects, metabolism"
"ALLERGODIL %0,1 BURUN SPREYI, COZELTI (10 ML)",azelastine,791,"central nervous system depressant (CNS depressant) activities, risk or severity of adverse effects, metabolism"
ALLERSET 10 MG 10 FTB,cetirizine,291,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, sedative activities"
ALLERSET 10 MG 20 FTB,cetirizine,291,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, sedative activities"
ALLERSET 10 MG/ML 20 ML DAMLA,cetirizine,291,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, sedative activities"
ALLERSET 5 MG/5 ML 200 ML SURUP,cetirizine,291,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, sedative activities"
"ALOPEXY T %5 DERI SPREYI, 60 ML",minoxidil,239,"hypotensive activities, risk or severity of adverse effects, antihypertensive activities"
"ALORES 2,5 MG/5ML 150 ML SURUP",desloratadine,392,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
ALPHAGAN-P %0.15 5 ML GOZ DAMLASI,brimonidine,497,"central nervous system depressant (CNS depressant) activities, antihypertensive activities, risk or severity of adverse effects"
ALPROS 20 MCG/ML INF ICIN KONS COZ ICEREN 1 MLX5 AMP,alprostadil,147,"therapeutic efficacy, anticoagulant activities, risk or severity of adverse effects"
ALUNBRIG 180 MG 28 TABLET,brigatinib,139,"serum concentration, metabolism"
ALUNBRIG 30 MG 28 TABLET,brigatinib,139,"serum concentration, metabolism"
ALUNBRIG 90 MG 28 TABLET,brigatinib,139,"serum concentration, metabolism"
ALUNBRIG 90 MG VE 180 MG FILM KAPLI TABLET TEDAVIYE BASLANGIC PAKETI (90 MG 7 TB +180 MG 21 TB),brigatinib,139,"serum concentration, metabolism"
ALVASTIN 10 MG 30 FTB,atorvastatin,384,"risk or severity of adverse effects, serum concentration, metabolism"
ALVASTIN 10 MG/90 FTB,atorvastatin,384,"risk or severity of adverse effects, serum concentration, metabolism"
ALVASTIN 20 MG 30 FTB,atorvastatin,384,"risk or severity of adverse effects, serum concentration, metabolism"
ALVASTIN 20 MG/90 FTB,atorvastatin,384,"risk or severity of adverse effects, serum concentration, metabolism"
ALVASTIN 40 MG 30 FTB,atorvastatin,384,"risk or severity of adverse effects, serum concentration, metabolism"
ALVASTIN 80 MG 30 FILM KAPLI TABLET,atorvastatin,384,"risk or severity of adverse effects, serum concentration, metabolism"
ALYSE 150 MG 56 KAP,pregabalin,345,"therapeutic efficacy, risk or severity of heart failure, central nervous system depressant (CNS depressant) activities"
ALYSE 25 MG 56 KAP,pregabalin,345,"therapeutic efficacy, risk or severity of heart failure, central nervous system depressant (CNS depressant) activities"
ALYSE 300 MG 56 KAP,pregabalin,345,"therapeutic efficacy, risk or severity of heart failure, central nervous system depressant (CNS depressant) activities"
ALYSE 75 MG 14 KAP,pregabalin,345,"therapeutic efficacy, risk or severity of heart failure, central nervous system depressant (CNS depressant) activities"
ALYSE 75 MG 56 KAPSUL,pregabalin,345,"therapeutic efficacy, risk or severity of heart failure, central nervous system depressant (CNS depressant) activities"
"ALZAMED 5 MG FILM TABLET ,FILM TABLET, 28 ADET",donepezil,314,"metabolism, risk or severity of adverse effects, bradycardic activities"
ALZANCER 10 MG 28 FTB,donepezil,314,"metabolism, risk or severity of adverse effects, bradycardic activities"
ALZANCER 5 MG 28 FTB,donepezil,314,"metabolism, risk or severity of adverse effects, bradycardic activities"
ALZANCER EASYTAB 10 MG 28 AGIZDA DAGILAN TB,donepezil,314,"metabolism, risk or severity of adverse effects, bradycardic activities"
ALZANCER EASYTAB 5 MG 28 AGIZDA DAGILAN TB,donepezil,314,"metabolism, risk or severity of adverse effects, bradycardic activities"
ALZANT 10 MG FILM KAPLI TABLET (100 TABLET),memantine,182,"risk or severity of adverse effects, therapeutic efficacy, bradycardic activities"
ALZANT 10 MG FILM KAPLI TABLET (50 TABLET),memantine,182,"risk or severity of adverse effects, therapeutic efficacy, bradycardic activities"
AMARYL 1 MG 30 TB,glimepiride,299,"hypoglycemic activities, therapeutic efficacy, metabolism"
AMARYL 2 MG 30 TB,glimepiride,299,"hypoglycemic activities, therapeutic efficacy, metabolism"
AMARYL 3 MG 30 TB,glimepiride,299,"hypoglycemic activities, therapeutic efficacy, metabolism"
AMARYL 4 MG 30 TB,glimepiride,299,"hypoglycemic activities, therapeutic efficacy, metabolism"
AMBISOME 50 MG IV FLK,amphotericin b,343,"risk or severity of adverse effects, therapeutic efficacy, hypokalemic activities"
"AMETIK 1.5G / 15 ML DAMLA, COZELTI",trimethobenzamide,1,central nervous system depressant (CNS depressant) activities
AMIDOVIN 150 MG/3 ML 6 AMP,amiodarone,1034,"metabolism, serum concentration, therapeutic efficacy"
AMIJEKSIN 100 MG 2ML/1 AMP,amikacin,185,"excretion rate of higher serum level, serum concentration, nephrotoxic activities"
AMIJEKSIN 500 MG 2ML/1 AMP,amikacin,185,"excretion rate of higher serum level, serum concentration, nephrotoxic activities"
AMIKAVER 100 MG 2ML 1 AMP,amikacin,185,"excretion rate of higher serum level, serum concentration, nephrotoxic activities"
AMIKAVER 500 MG 2ML/1 AMP,amikacin,185,"excretion rate of higher serum level, serum concentration, nephrotoxic activities"
AMIKOZIT 100 MG/2 ML 1 FLK (ECZ),amikacin,185,"excretion rate of higher serum level, serum concentration, nephrotoxic activities"
AMIKOZIT 500 MG/2 ML 1 FLK (ECZ),amikacin,185,"excretion rate of higher serum level, serum concentration, nephrotoxic activities"
AMLODIS 10 MG 20 TB,amlodipine,435,"hypotensive activities, risk or severity of adverse effects, metabolism"
AMLODIS 5 MG 20 TB,amlodipine,435,"hypotensive activities, risk or severity of adverse effects, metabolism"
AMLOKARD 10 MG 30 TB,amlodipine,435,"hypotensive activities, risk or severity of adverse effects, metabolism"
AMLOKARD 10 MG 90 TABLET,amlodipine,435,"hypotensive activities, risk or severity of adverse effects, metabolism"
AMLOKARD 5 MG 30 TB,amlodipine,435,"hypotensive activities, risk or severity of adverse effects, metabolism"
"AMVASTAN 20 MG FILM KAPLI TABLET, 30 ADET",atorvastatin,384,"risk or severity of adverse effects, serum concentration, metabolism"
ANAFRANIL 10 MG 30 KAPLI TABLET,clomipramine,749,"risk or severity of adverse effects, metabolism, serum concentration"
ANAFRANIL 25 MG 30 KAPLI TABLET,clomipramine,749,"risk or severity of adverse effects, metabolism, serum concentration"
ANAFRANIL SR 75 MG UZATILMIS SALIMLI BOLUNEBILIR 20 TABLET,clomipramine,749,"risk or severity of adverse effects, metabolism, serum concentration"
ANAPOLON 50 MG 20 TB,oxymetholone,117,"fluid retaining activities, hypoglycemic activities, serum concentration"
ANDAZOL 200 MG 40 FILM KAPLI TABLET,albendazole,128,"metabolism, serum concentration, cardiotoxic activities"
ANDAZOL 200 MG 6 FILM KAPLI TABLET,albendazole,128,"metabolism, serum concentration, cardiotoxic activities"
ANDAZOL 400 MG 3 FILM KAPLI TABLET,albendazole,128,"metabolism, serum concentration, cardiotoxic activities"
ANDAZOL 400 MG 60 FILM KAPLI TABLET,albendazole,128,"metabolism, serum concentration, cardiotoxic activities"
ANDAZOL 60 ML SUSP,albendazole,128,"metabolism, serum concentration, cardiotoxic activities"
"ANDROVIUM %2 TOPIKAL ÇÖZELTI ,60 ML",minoxidil,239,"hypotensive activities, risk or severity of adverse effects, antihypertensive activities"
"ANDROVIUM %5 TOPIKAL ÇÖZELTI ,60 ML",minoxidil,239,"hypotensive activities, risk or severity of adverse effects, antihypertensive activities"
ANESTOL %5 MERHEM,lidocaine,572,"metabolism, risk or severity of adverse effects, serum concentration"
ANKEP 100 MG 30 FILM KAPLI TABLET,quetiapine,708,"risk or severity of adverse effects, QTc-prolonging activities, serum concentration"
ANKEP 200 MG 30 FILM TABLET,quetiapine,708,"risk or severity of adverse effects, QTc-prolonging activities, serum concentration"
ANKEP 25 MG 30 FILM TABLET,quetiapine,708,"risk or severity of adverse effects, QTc-prolonging activities, serum concentration"
ANKEP 300 MG 30 FILM TABLET,quetiapine,708,"risk or severity of adverse effects, QTc-prolonging activities, serum concentration"
