drug1_name,drug2_name,drug1_normalized,drug2_normalized,interaction_type
Bivalirudin,Digoxin,bivalirudin,digoxin,serum concentration
Bivalirudin,Dasatinib,bivalirudin,dasatinib,anticoagulant activities
Bivalirudin,Deferasirox,bivalirudin,deferasirox,risk or severity of adverse effects
Bivalirudin,Ibrutinib,bivalirudin,ibrutinib,risk or severity of adverse effects
Bivalirudin,Nintedanib,bivalirudin,nintedanib,risk or severity of adverse effects
Bivalirudin,Sugammadex,bivalirudin,sugammadex,anticoagulant activities
Bivalirudin,Diclofenac,bivalirudin,diclofenac,anticoagulant activities
Bivalirudin,Flurbiprofen,bivalirudin,flurbiprofen,anticoagulant activities
Bivalirudin,Nepafenac,bivalirudin,nepafenac,anticoagulant activities
Bivalirudin,Adapalene,bivalirudin,adapalene,anticoagulant activities
Bivalirudin,Mesalazine,bivalirudin,mesalazine,anticoagulant activities
Bivalirudin,Pimecrolimus,bivalirudin,pimecrolimus,anticoagulant activities
Bivalirudin,Tenoxicam,bivalirudin,tenoxicam,anticoagulant activities
Bivalirudin,Celecoxib,bivalirudin,celecoxib,anticoagulant activities
Bivalirudin,Piroxicam,bivalirudin,piroxicam,anticoagulant activities
Bivalirudin,Etodolac,bivalirudin,etodolac,anticoagulant activities
Bivalirudin,Olopatadine,bivalirudin,olopatadine,anticoagulant activities
Bivalirudin,Mefenamic acid,bivalirudin,mefenamic acid,anticoagulant activities
Bivalirudin,Naproxen,bivalirudin,naproxen,anticoagulant activities
Bivalirudin,Meloxicam,bivalirudin,meloxicam,anticoagulant activities
Bivalirudin,Diflunisal,bivalirudin,diflunisal,anticoagulant activities
Bivalirudin,Ketoprofen,bivalirudin,ketoprofen,anticoagulant activities
Bivalirudin,Mycophenolic acid,bivalirudin,mycophenolic acid,anticoagulant activities
Bivalirudin,Ibuprofen,bivalirudin,ibuprofen,anticoagulant activities
Bivalirudin,Leflunomide,bivalirudin,leflunomide,anticoagulant activities
Bivalirudin,Tiaprofenic acid,bivalirudin,tiaprofenic acid,anticoagulant activities
Bivalirudin,Nimesulide,bivalirudin,nimesulide,anticoagulant activities
Bivalirudin,Apremilast,bivalirudin,apremilast,anticoagulant activities
Bivalirudin,Lornoxicam,bivalirudin,lornoxicam,anticoagulant activities
Bivalirudin,Aceclofenac,bivalirudin,aceclofenac,anticoagulant activities
Bivalirudin,Etofenamate,bivalirudin,etofenamate,anticoagulant activities
Bivalirudin,Benzydamine,bivalirudin,benzydamine,anticoagulant activities
Bivalirudin,Vitamin E,bivalirudin,vitamin e,anticoagulant activities
Bivalirudin,Argatroban,bivalirudin,argatroban,anticoagulant activities
Bivalirudin,Warfarin,bivalirudin,warfarin,anticoagulant activities
Bivalirudin,Potassium Citrate,bivalirudin,potassium citrate,anticoagulant activities
Bivalirudin,Tirofiban,bivalirudin,tirofiban,anticoagulant activities
Bivalirudin,Cilostazol,bivalirudin,cilostazol,anticoagulant activities
Bivalirudin,Treprostinil,bivalirudin,treprostinil,anticoagulant activities
Bivalirudin,Clopidogrel,bivalirudin,clopidogrel,anticoagulant activities
Bivalirudin,Dipyridamole,bivalirudin,dipyridamole,anticoagulant activities
Bivalirudin,Iloprost,bivalirudin,iloprost,anticoagulant activities
Bivalirudin,Epoprostenol,bivalirudin,epoprostenol,anticoagulant activities
Bivalirudin,Prasugrel,bivalirudin,prasugrel,anticoagulant activities
Bivalirudin,Alprostadil,bivalirudin,alprostadil,anticoagulant activities
Bivalirudin,Pentoxifylline,bivalirudin,pentoxifylline,anticoagulant activities
Bivalirudin,Sevoflurane,bivalirudin,sevoflurane,anticoagulant activities
Bivalirudin,Theophylline,bivalirudin,theophylline,serum concentration
Bivalirudin,Aminophylline,bivalirudin,aminophylline,serum concentration
Bivalirudin,Valproic Acid,bivalirudin,valproic acid,serum concentration
Bivalirudin,Zidovudine,bivalirudin,zidovudine,serum concentration
Goserelin,Citalopram,goserelin,citalopram,QTc-prolonging activities
Goserelin,Fluoxetine,goserelin,fluoxetine,QTc-prolonging activities
Goserelin,Sotalol,goserelin,sotalol,QTc-prolonging activities
Goserelin,Flupentixol,goserelin,flupentixol,QTc-prolonging activities
Goserelin,Amiodarone,goserelin,amiodarone,QTc-prolonging activities
Goserelin,Escitalopram,goserelin,escitalopram,QTc-prolonging activities
Goserelin,Domperidone,goserelin,domperidone,QTc-prolonging activities
Goserelin,Quetiapine,goserelin,quetiapine,QTc-prolonging activities
Goserelin,Lopinavir,goserelin,lopinavir,QTc-prolonging activities
Goserelin,Zuclopenthixol,goserelin,zuclopenthixol,QTc-prolonging activities
Goserelin,Nilotinib,goserelin,nilotinib,QTc-prolonging activities
Goserelin,Vemurafenib,goserelin,vemurafenib,QTc-prolonging activities
Goserelin,Azithromycin,goserelin,azithromycin,QTc-prolonging activities
Goserelin,Moxifloxacin,goserelin,moxifloxacin,QTc-prolonging activities
Goserelin,Clozapine,goserelin,clozapine,QTc-prolonging activities
Goserelin,Haloperidol,goserelin,haloperidol,QTc-prolonging activities
Goserelin,Ciprofloxacin,goserelin,ciprofloxacin,QTc-prolonging activities
Goserelin,Granisetron,goserelin,granisetron,QTc-prolonging activities
Goserelin,Ondansetron,goserelin,ondansetron,QTc-prolonging activities
Goserelin,Levofloxacin,goserelin,levofloxacin,QTc-prolonging activities
Goserelin,Ofloxacin,goserelin,ofloxacin,QTc-prolonging activities
Goserelin,Propafenone,goserelin,propafenone,QTc-prolonging activities
Goserelin,Clarithromycin,goserelin,clarithromycin,QTc-prolonging activities
Goserelin,Pazopanib,goserelin,pazopanib,QTc-prolonging activities
Goserelin,Ivabradine,goserelin,ivabradine,QTc-prolonging activities
Goserelin,Docetaxel,goserelin,docetaxel,risk or severity of adverse effects
Goserelin,Digoxin,goserelin,digoxin,cardiotoxic activities
Goserelin,Cyclophosphamide,goserelin,cyclophosphamide,cardiotoxic activities
Goserelin,Octreotide,goserelin,octreotide,QTc-prolonging activities
Goserelin,Bortezomib,goserelin,bortezomib,QTc-prolonging activities
Goserelin,Fluconazole,goserelin,fluconazole,QTc-prolonging activities
Goserelin,Atomoxetine,goserelin,atomoxetine,QTc-prolonging activities
Goserelin,Olanzapine,goserelin,olanzapine,QTc-prolonging activities
Goserelin,Alfuzosin,goserelin,alfuzosin,QTc-prolonging activities
Goserelin,Mirtazapine,goserelin,mirtazapine,QTc-prolonging activities
Goserelin,Treprostinil,goserelin,treprostinil,QTc-prolonging activities
Goserelin,Sorafenib,goserelin,sorafenib,QTc-prolonging activities
Goserelin,Ritonavir,goserelin,ritonavir,QTc-prolonging activities
Goserelin,Hydroxyzine,goserelin,hydroxyzine,QTc-prolonging activities
Goserelin,Trazodone,goserelin,trazodone,QTc-prolonging activities
Goserelin,Tamoxifen,goserelin,tamoxifen,QTc-prolonging activities
Goserelin,Moexipril,goserelin,moexipril,QTc-prolonging activities
Goserelin,Paroxetine,goserelin,paroxetine,QTc-prolonging activities
Goserelin,Risperidone,goserelin,risperidone,QTc-prolonging activities
Goserelin,Isoflurane,goserelin,isoflurane,QTc-prolonging activities
Goserelin,Indapamide,goserelin,indapamide,QTc-prolonging activities
Goserelin,Propofol,goserelin,propofol,QTc-prolonging activities
Goserelin,Vardenafil,goserelin,vardenafil,QTc-prolonging activities
Goserelin,Terbutaline,goserelin,terbutaline,QTc-prolonging activities
Goserelin,Metronidazole,goserelin,metronidazole,QTc-prolonging activities
Goserelin,Salmeterol,goserelin,salmeterol,QTc-prolonging activities
Goserelin,Formoterol,goserelin,formoterol,QTc-prolonging activities
Goserelin,Salbutamol,goserelin,salbutamol,QTc-prolonging activities
Goserelin,Ketoconazole,goserelin,ketoconazole,QTc-prolonging activities
Goserelin,Tolterodine,goserelin,tolterodine,QTc-prolonging activities
Goserelin,Diphenhydramine,goserelin,diphenhydramine,QTc-prolonging activities
Goserelin,Sertraline,goserelin,sertraline,QTc-prolonging activities
Goserelin,Desipramine,goserelin,desipramine,QTc-prolonging activities
Goserelin,Itraconazole,goserelin,itraconazole,QTc-prolonging activities
Goserelin,Metoclopramide,goserelin,metoclopramide,QTc-prolonging activities
Goserelin,Sevoflurane,goserelin,sevoflurane,QTc-prolonging activities
Goserelin,Aripiprazole,goserelin,aripiprazole,QTc-prolonging activities
Goserelin,Dasatinib,goserelin,dasatinib,QTc-prolonging activities
Goserelin,Sunitinib,goserelin,sunitinib,QTc-prolonging activities
Goserelin,Solifenacin,goserelin,solifenacin,QTc-prolonging activities
Goserelin,Triptorelin,goserelin,triptorelin,QTc-prolonging activities
Goserelin,Fingolimod,goserelin,fingolimod,QTc-prolonging activities
Goserelin,Mirabegron,goserelin,mirabegron,QTc-prolonging activities
Goserelin,Glimepiride,goserelin,glimepiride,therapeutic efficacy
Goserelin,Acarbose,goserelin,acarbose,therapeutic efficacy
Goserelin,Metformin,goserelin,metformin,therapeutic efficacy
Goserelin,Miglustat,goserelin,miglustat,therapeutic efficacy
Goserelin,Miglitol,goserelin,miglitol,therapeutic efficacy
Goserelin,Nateglinide,goserelin,nateglinide,therapeutic efficacy
Goserelin,Repaglinide,goserelin,repaglinide,therapeutic efficacy
Goserelin,Glipizide,goserelin,glipizide,therapeutic efficacy
Goserelin,Gliclazide,goserelin,gliclazide,therapeutic efficacy
Goserelin,Pioglitazone,goserelin,pioglitazone,therapeutic efficacy
Goserelin,Sitagliptin,goserelin,sitagliptin,therapeutic efficacy
Goserelin,Vildagliptin,goserelin,vildagliptin,therapeutic efficacy
Goserelin,Voglibose,goserelin,voglibose,therapeutic efficacy
Goserelin,Linagliptin,goserelin,linagliptin,therapeutic efficacy
Goserelin,Empagliflozin,goserelin,empagliflozin,therapeutic efficacy
Desmopressin,Tolvaptan,desmopressin,tolvaptan,therapeutic efficacy
Desmopressin,Desipramine,desmopressin,desipramine,risk or severity of adverse effects
Desmopressin,Tianeptine,desmopressin,tianeptine,risk or severity of adverse effects
Desmopressin,Diclofenac,desmopressin,diclofenac,risk or severity of adverse effects
Desmopressin,Flurbiprofen,desmopressin,flurbiprofen,risk or severity of adverse effects
Desmopressin,Nepafenac,desmopressin,nepafenac,risk or severity of adverse effects
Desmopressin,Adapalene,desmopressin,adapalene,risk or severity of adverse effects
Desmopressin,Mesalazine,desmopressin,mesalazine,risk or severity of adverse effects
Desmopressin,Pimecrolimus,desmopressin,pimecrolimus,risk or severity of adverse effects
Desmopressin,Tenoxicam,desmopressin,tenoxicam,risk or severity of adverse effects
Desmopressin,Celecoxib,desmopressin,celecoxib,risk or severity of adverse effects
Desmopressin,Piroxicam,desmopressin,piroxicam,risk or severity of adverse effects
Desmopressin,Etodolac,desmopressin,etodolac,risk or severity of adverse effects
Desmopressin,Olopatadine,desmopressin,olopatadine,risk or severity of adverse effects
Desmopressin,Mefenamic acid,desmopressin,mefenamic acid,risk or severity of adverse effects
Desmopressin,Naproxen,desmopressin,naproxen,risk or severity of adverse effects
Desmopressin,Meloxicam,desmopressin,meloxicam,risk or severity of adverse effects
Desmopressin,Diflunisal,desmopressin,diflunisal,risk or severity of adverse effects
Desmopressin,Ketoprofen,desmopressin,ketoprofen,risk or severity of adverse effects
Desmopressin,Mycophenolic acid,desmopressin,mycophenolic acid,risk or severity of adverse effects
Desmopressin,Ibuprofen,desmopressin,ibuprofen,risk or severity of adverse effects
Desmopressin,Leflunomide,desmopressin,leflunomide,risk or severity of adverse effects
Desmopressin,Tiaprofenic acid,desmopressin,tiaprofenic acid,risk or severity of adverse effects
Desmopressin,Nimesulide,desmopressin,nimesulide,risk or severity of adverse effects
Desmopressin,Apremilast,desmopressin,apremilast,risk or severity of adverse effects
Desmopressin,Lornoxicam,desmopressin,lornoxicam,risk or severity of adverse effects
Desmopressin,Aceclofenac,desmopressin,aceclofenac,risk or severity of adverse effects
Desmopressin,Etofenamate,desmopressin,etofenamate,risk or severity of adverse effects
Desmopressin,Acemetacin,desmopressin,acemetacin,risk or severity of adverse effects
Desmopressin,Benzydamine,desmopressin,benzydamine,risk or severity of adverse effects
Desmopressin,Tramadol,desmopressin,tramadol,risk or severity of adverse effects
Desmopressin,Morphine,desmopressin,morphine,risk or severity of adverse effects
Desmopressin,Pethidine,desmopressin,pethidine,risk or severity of adverse effects
Desmopressin,Fentanyl,desmopressin,fentanyl,risk or severity of adverse effects
Desmopressin,Buprenorphine,desmopressin,buprenorphine,risk or severity of adverse effects
Desmopressin,Remifentanil,desmopressin,remifentanil,risk or severity of adverse effects
Desmopressin,Fluvoxamine,desmopressin,fluvoxamine,risk or severity of adverse effects
Desmopressin,Citalopram,desmopressin,citalopram,risk or severity of adverse effects
Desmopressin,Fluoxetine,desmopressin,fluoxetine,risk or severity of adverse effects
Desmopressin,Paroxetine,desmopressin,paroxetine,risk or severity of adverse effects
Desmopressin,Sertraline,desmopressin,sertraline,risk or severity of adverse effects
Desmopressin,Escitalopram,desmopressin,escitalopram,risk or severity of adverse effects
Desmopressin,Carbamazepine,desmopressin,carbamazepine,risk or severity of adverse effects
Desmopressin,Lamotrigine,desmopressin,lamotrigine,risk or severity of adverse effects
Octreotide,Citalopram,octreotide,citalopram,QTc-prolonging activities
Octreotide,Fluoxetine,octreotide,fluoxetine,QTc-prolonging activities
Octreotide,Sotalol,octreotide,sotalol,QTc-prolonging activities
Octreotide,Flupentixol,octreotide,flupentixol,QTc-prolonging activities
Octreotide,Amiodarone,octreotide,amiodarone,QTc-prolonging activities
Octreotide,Escitalopram,octreotide,escitalopram,QTc-prolonging activities
Octreotide,Domperidone,octreotide,domperidone,QTc-prolonging activities
Octreotide,Quetiapine,octreotide,quetiapine,QTc-prolonging activities
Octreotide,Lopinavir,octreotide,lopinavir,QTc-prolonging activities
Octreotide,Zuclopenthixol,octreotide,zuclopenthixol,QTc-prolonging activities
Octreotide,Nilotinib,octreotide,nilotinib,QTc-prolonging activities
Octreotide,Vemurafenib,octreotide,vemurafenib,QTc-prolonging activities
Octreotide,Docetaxel,octreotide,docetaxel,risk or severity of adverse effects
Octreotide,Digoxin,octreotide,digoxin,cardiotoxic activities
Octreotide,Cyclophosphamide,octreotide,cyclophosphamide,cardiotoxic activities
Octreotide,Ivabradine,octreotide,ivabradine,bradycardic activities
Octreotide,Lacosamide,octreotide,lacosamide,atrioventricular blocking (AV block) activities
Octreotide,Azithromycin,octreotide,azithromycin,QTc-prolonging activities
Octreotide,Moxifloxacin,octreotide,moxifloxacin,QTc-prolonging activities
Octreotide,Clozapine,octreotide,clozapine,QTc-prolonging activities
Octreotide,Haloperidol,octreotide,haloperidol,QTc-prolonging activities
Octreotide,Ciprofloxacin,octreotide,ciprofloxacin,QTc-prolonging activities
Octreotide,Granisetron,octreotide,granisetron,QTc-prolonging activities
Octreotide,Ondansetron,octreotide,ondansetron,QTc-prolonging activities
Octreotide,Levofloxacin,octreotide,levofloxacin,QTc-prolonging activities
Octreotide,Ofloxacin,octreotide,ofloxacin,QTc-prolonging activities
Octreotide,Propafenone,octreotide,propafenone,QTc-prolonging activities
Octreotide,Clarithromycin,octreotide,clarithromycin,QTc-prolonging activities
Octreotide,Pazopanib,octreotide,pazopanib,QTc-prolonging activities
Octreotide,Glimepiride,octreotide,glimepiride,hypoglycemic activities
Octreotide,Nateglinide,octreotide,nateglinide,hypoglycemic activities
Octreotide,Repaglinide,octreotide,repaglinide,hypoglycemic activities
Octreotide,Glipizide,octreotide,glipizide,hypoglycemic activities
Octreotide,Gliclazide,octreotide,gliclazide,hypoglycemic activities
Octreotide,Sunitinib,octreotide,sunitinib,hypoglycemic activities
Octreotide,Esmolol,octreotide,esmolol,bradycardic activities
Octreotide,Betaxolol,octreotide,betaxolol,bradycardic activities
Octreotide,Metoprolol,octreotide,metoprolol,bradycardic activities
Octreotide,Atenolol,octreotide,atenolol,bradycardic activities
Octreotide,Diltiazem,octreotide,diltiazem,bradycardic activities
Octreotide,Timolol,octreotide,timolol,bradycardic activities
Octreotide,Propranolol,octreotide,propranolol,bradycardic activities
Octreotide,Labetalol,octreotide,labetalol,bradycardic activities
Octreotide,Bisoprolol,octreotide,bisoprolol,bradycardic activities
Octreotide,Verapamil,octreotide,verapamil,bradycardic activities
Octreotide,Donepezil,octreotide,donepezil,bradycardic activities
Octreotide,Rivastigmine,octreotide,rivastigmine,bradycardic activities
Octreotide,Carvedilol,octreotide,carvedilol,bradycardic activities
Octreotide,Penbutolol,octreotide,penbutolol,bradycardic activities
Octreotide,Nebivolol,octreotide,nebivolol,bradycardic activities
Octreotide,Fingolimod,octreotide,fingolimod,bradycardic activities
Octreotide,Acarbose,octreotide,acarbose,therapeutic efficacy
Octreotide,Metformin,octreotide,metformin,therapeutic efficacy
Octreotide,Miglustat,octreotide,miglustat,therapeutic efficacy
Octreotide,Miglitol,octreotide,miglitol,therapeutic efficacy
Octreotide,Pioglitazone,octreotide,pioglitazone,therapeutic efficacy
Octreotide,Sitagliptin,octreotide,sitagliptin,therapeutic efficacy
Octreotide,Vildagliptin,octreotide,vildagliptin,therapeutic efficacy
Octreotide,Voglibose,octreotide,voglibose,therapeutic efficacy
Octreotide,Linagliptin,octreotide,linagliptin,therapeutic efficacy
Octreotide,Empagliflozin,octreotide,empagliflozin,therapeutic efficacy
Cyanocobalamin,Chloramphenicol,cyanocobalamin,chloramphenicol,therapeutic efficacy
Cyanocobalamin,Colchicine,cyanocobalamin,colchicine,serum concentration
Vitamin C,Bortezomib,vitamin c,bortezomib,therapeutic efficacy
Vitamin C,Pseudoephedrine,vitamin c,pseudoephedrine,serum concentration
Vitamin C,Estradiol,vitamin c,estradiol,serum concentration
Vitamin C,Estriol,vitamin c,estriol,serum concentration
Calcitriol,Sucralfate,calcitriol,sucralfate,serum concentration
Calcitriol,Fusidic Acid,calcitriol,fusidic acid,serum concentration
Calcitriol,Paricalcitol,calcitriol,paricalcitol,risk or severity of adverse effects
Calcitriol,Calcipotriol,calcitriol,calcipotriol,risk or severity of adverse effects
Calcitriol,Alfacalcidol,calcitriol,alfacalcidol,risk or severity of adverse effects
Calcitriol,Vemurafenib,calcitriol,vemurafenib,serum concentration
Calcitriol,Aripiprazole,calcitriol,aripiprazole,serum concentration
Calcitriol,Nevirapine,calcitriol,nevirapine,metabolism
Calcitriol,Rifabutin,calcitriol,rifabutin,metabolism
Calcitriol,Rifampicin,calcitriol,rifampicin,metabolism
Calcitriol,Carbamazepine,calcitriol,carbamazepine,metabolism
Calcitriol,Phenytoin,calcitriol,phenytoin,metabolism
Calcitriol,Ketoconazole,calcitriol,ketoconazole,metabolism
Calcitriol,Itraconazole,calcitriol,itraconazole,metabolism
Calcitriol,Clarithromycin,calcitriol,clarithromycin,metabolism
Calcitriol,Darunavir,calcitriol,darunavir,metabolism
Calcitriol,Lopinavir,calcitriol,lopinavir,metabolism
Calcitriol,Amiodarone,calcitriol,amiodarone,metabolism
Calcitriol,Orlistat,calcitriol,orlistat,serum concentration
Calcitriol,Magnesium sulfate,calcitriol,magnesium sulfate,serum concentration
Calcitriol,Magnesium oxide,calcitriol,magnesium oxide,serum concentration
Calcitriol,Magnesium hydroxide,calcitriol,magnesium hydroxide,serum concentration
Calcitriol,Indapamide,calcitriol,indapamide,risk or severity of hyperkalemia
Calcitriol,Deferasirox,calcitriol,deferasirox,serum concentration
Calcitriol,Mometasone,calcitriol,mometasone,therapeutic efficacy
Calcitriol,Clobetasone,calcitriol,clobetasone,therapeutic efficacy
Calcitriol,Desonide,calcitriol,desonide,therapeutic efficacy
Calcitriol,Fluticasone,calcitriol,fluticasone,therapeutic efficacy
Calcitriol,Bosentan,calcitriol,bosentan,serum concentration
Calcitriol,Bortezomib,calcitriol,bortezomib,metabolism
Calcitriol,Fluconazole,calcitriol,fluconazole,metabolism
Calcitriol,Lovastatin,calcitriol,lovastatin,metabolism
Calcitriol,Diltiazem,calcitriol,diltiazem,metabolism
Calcitriol,Imatinib,calcitriol,imatinib,metabolism
Calcitriol,Fosamprenavir,calcitriol,fosamprenavir,metabolism
Calcitriol,Sildenafil,calcitriol,sildenafil,metabolism
Calcitriol,Fluvoxamine,calcitriol,fluvoxamine,metabolism
Calcitriol,Verapamil,calcitriol,verapamil,metabolism
Calcitriol,Nilotinib,calcitriol,nilotinib,metabolism
Calcitriol,Atomoxetine,calcitriol,atomoxetine,metabolism
Calcitriol,Clemastine,calcitriol,clemastine,metabolism
Calcitriol,Doxycycline,calcitriol,doxycycline,metabolism
Calcitriol,Olaparib,calcitriol,olaparib,metabolism
Calcitriol,Danazol,calcitriol,danazol,hypercalcemic activities
Calcitriol,Sevelamer,calcitriol,sevelamer,serum concentration
Calcitriol,Betamethasone,calcitriol,betamethasone,therapeutic efficacy
Calcitriol,Triamcinolone,calcitriol,triamcinolone,therapeutic efficacy
Calcitriol,Hydrocortisone,calcitriol,hydrocortisone,therapeutic efficacy
Calcitriol,Prednisolone,calcitriol,prednisolone,therapeutic efficacy
Calcitriol,Rimexolone,calcitriol,rimexolone,therapeutic efficacy
Calcitriol,Methylprednisolone,calcitriol,methylprednisolone,therapeutic efficacy
Calcitriol,Clobetasol,calcitriol,clobetasol,therapeutic efficacy
Calcitriol,Calcium glubionate,calcitriol,calcium glubionate,risk or severity of adverse effects
Calcitriol,Calcium Acetate,calcitriol,calcium acetate,risk or severity of adverse effects
Calcitriol,Digoxin,calcitriol,digoxin,arrhythmogenic activities
Calcitriol,Aprepitant,calcitriol,aprepitant,serum concentration
Calcitriol,Dasatinib,calcitriol,dasatinib,serum concentration
Folic Acid,Raltitrexed,folic acid,raltitrexed,therapeutic efficacy
Folic Acid,Vemurafenib,folic acid,vemurafenib,serum concentration
Folic Acid,Phenytoin,folic acid,phenytoin,serum concentration
Folic Acid,Diclofenac,folic acid,diclofenac,therapeutic efficacy
Folic Acid,Flurbiprofen,folic acid,flurbiprofen,therapeutic efficacy
Folic Acid,Nepafenac,folic acid,nepafenac,therapeutic efficacy
Folic Acid,Adapalene,folic acid,adapalene,therapeutic efficacy
Folic Acid,Mesalazine,folic acid,mesalazine,therapeutic efficacy
Folic Acid,Pimecrolimus,folic acid,pimecrolimus,therapeutic efficacy
Folic Acid,Tenoxicam,folic acid,tenoxicam,therapeutic efficacy
Folic Acid,Celecoxib,folic acid,celecoxib,therapeutic efficacy
Folic Acid,Piroxicam,folic acid,piroxicam,therapeutic efficacy
Folic Acid,Etodolac,folic acid,etodolac,therapeutic efficacy
Folic Acid,Olopatadine,folic acid,olopatadine,therapeutic efficacy
Folic Acid,Mefenamic acid,folic acid,mefenamic acid,therapeutic efficacy
Folic Acid,Naproxen,folic acid,naproxen,therapeutic efficacy
Folic Acid,Meloxicam,folic acid,meloxicam,therapeutic efficacy
Folic Acid,Diflunisal,folic acid,diflunisal,therapeutic efficacy
Folic Acid,Ketoprofen,folic acid,ketoprofen,therapeutic efficacy
Folic Acid,Mycophenolic acid,folic acid,mycophenolic acid,therapeutic efficacy
Folic Acid,Ibuprofen,folic acid,ibuprofen,therapeutic efficacy
Folic Acid,Leflunomide,folic acid,leflunomide,therapeutic efficacy
Folic Acid,Tiaprofenic acid,folic acid,tiaprofenic acid,therapeutic efficacy
Folic Acid,Nimesulide,folic acid,nimesulide,therapeutic efficacy
Folic Acid,Apremilast,folic acid,apremilast,therapeutic efficacy
Folic Acid,Lornoxicam,folic acid,lornoxicam,therapeutic efficacy
Folic Acid,Aceclofenac,folic acid,aceclofenac,therapeutic efficacy
Folic Acid,Etofenamate,folic acid,etofenamate,therapeutic efficacy
Folic Acid,Acemetacin,folic acid,acemetacin,therapeutic efficacy
Folic Acid,Benzydamine,folic acid,benzydamine,therapeutic efficacy
Folic Acid,Nicotine,folic acid,nicotine,metabolism
Folic Acid,Eltrombopag,folic acid,eltrombopag,serum concentration
Vitamin A,Acitretin,vitamin a,acitretin,risk or severity of adverse effects
Vitamin A,Adapalene,vitamin a,adapalene,risk or severity of adverse effects
Vitamin A,Isotretinoin,vitamin a,isotretinoin,risk or severity of adverse effects
Vitamin A,Tretinoin,vitamin a,tretinoin,risk or severity of adverse effects
Vitamin A,Orlistat,vitamin a,orlistat,serum concentration
Vitamin A,Docetaxel,vitamin a,docetaxel,risk or severity of adverse effects
Vitamin A,Digoxin,vitamin a,digoxin,cardiotoxic activities
Vitamin A,Cyclophosphamide,vitamin a,cyclophosphamide,cardiotoxic activities
Vitamin E,Orlistat,vitamin e,orlistat,serum concentration
Vitamin E,Ibrutinib,vitamin e,ibrutinib,antiplatelet activities
Vitamin E,Argatroban,vitamin e,argatroban,anticoagulant activities
Vitamin E,Warfarin,vitamin e,warfarin,anticoagulant activities
Vitamin E,Apixaban,vitamin e,apixaban,anticoagulant activities
Vitamin E,Dabigatran etexilate,vitamin e,dabigatran etexilate,anticoagulant activities
Vitamin E,Potassium Citrate,vitamin e,potassium citrate,anticoagulant activities
Vitamin E,Tirofiban,vitamin e,tirofiban,antiplatelet activities
Vitamin E,Dipyridamole,vitamin e,dipyridamole,antiplatelet activities
Vitamin E,Clopidogrel,vitamin e,clopidogrel,antiplatelet activities
Vitamin E,Prasugrel,vitamin e,prasugrel,antiplatelet activities
Vitamin E,Alprostadil,vitamin e,alprostadil,antiplatelet activities
Vitamin E,Pentoxifylline,vitamin e,pentoxifylline,antiplatelet activities
Vitamin E,Iloprost,vitamin e,iloprost,antiplatelet activities
Vitamin E,Cilostazol,vitamin e,cilostazol,antiplatelet activities
Vitamin E,Sevoflurane,vitamin e,sevoflurane,antiplatelet activities
Vitamin E,Epoprostenol,vitamin e,epoprostenol,antiplatelet activities
Vitamin E,Nimesulide,vitamin e,nimesulide,antiplatelet activities
Pyridoxine,Levodopa,pyridoxine,levodopa,therapeutic efficacy
